new entry "Target_MasterOfSparks"
type "SkillData"
data "SkillType" "Target"
data "ForGameMaster" "Yes"
data "Ability" "Fire"
data "ActionPoints" "1"
data "Cooldown" "5"
data "SkillProperties" "SPARK_MASTER,100,3"
data "TargetRadius" "13"
data "AreaRadius" "30"
data "AddWeaponRange" "No"
data "MemorizationRequirements" "FireSpecialist 2; WarriorLore 2"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "CanTargetTerrain" "No"
data "Memory Cost" "2"
data "Magic Cost" "1"
data "TargetConditions" "Character;Ally"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Icon" "Skill_Skillcrafting_Fire_MasterOfSparks"
data "DisplayName" "Target_MasterOfSparks_DisplayName"
data "DisplayNameRef" "|Master Of Sparks|"
data "Description" "Target_MasterOfSparks_Description"
data "DescriptionRef" "|Target receives Master Sparkstriker status that causes any enemies damaged by your melee attacks or skills based on your weapon to spawn Sparks at all nearby enemies.|"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_touch_01_start"
data "PrepareAnimationLoop" "skill_prepare_touch_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Fire_Prepare_Touch_Hand_01:Dummy_R_HandFX,Dummy_L_HandFX;RS3_FX_Skills_Fire_Prepare_Touch_Root_01"
data "CastAnimation" "skill_cast_aoe_voodoo_01_cast"
data "CastSelfAnimation" "skill_cast_aoe_voodoo_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Fire_Cast_Aoe_Voodoo_Root_01:Dummy_Root;RS3_FX_Skills_Fire_Cast_Aoe_Voodoo_Hand_01:Dummy_R_HandFX,Dummy_L_HandFX;RS3_FX_Skills_Fire_Cast_Aoe_Voodoo_Root_01_Texkey:Dummy_Root:cast"
data "TargetEffect" "RS3_FX_Skills_Fire_Impact_Aoe_Voodoo_Root_01:Dummy_Root:cast"
data "TargetGroundEffect" "RS3_FX_Skills_Fire_Impact_Aoe_Voodoo_Root_01:Dummy_Root:cast"
data "CycleConditions" "Ally;!Dead"

